country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,3.7,3.5,,2,2.5,3.2,3.1,3,2.8,3.7,3.8,4.8,5.2,4.6,4.9,5.1,5.6,5.7,5.5,5.8,6.1,5.9,6.4,6.2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,6.1,7.1,7.4,7.5,8,7.8,7.7,7.2,7.3,7.3,6.8,7,7.5,7.8,8.1,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,4.5,,,,,,,,,4,,,,,,,3.7,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,9.1,,,,,9.4,,,,,,8,,,,,7.3,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,6.6,,,,,7.5,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,10.8,,,,10.7,,,,10.8,,,,,9.6,,,9.4,9.4,9.5,9.2,9.2,9.3,9.3,9.2,9.3,9.4,9.3,9.4,9.4,9.4,9.4,
France,,,,,,,,,,,,7,,,,,,6.5,,,,,7.5,,,,,8,,,,,,8.2,,,8.2,8.4,8.6,8.5,8.1,7.9,7.7,7.7,7.8,7.8,8,8,7.9,8,8.1,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,6,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,4.8,,,,,,,5.7,,,,,7.4,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,5.1,5.2,5.4,5.4,5.8,6.3,6.3,6.2,6.2,6.3,6.2,6.1,6.1,5.7,5.6,5.9,6.1,6.4,6.7,6.7,6.3,6.5
Germany,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,8.5,8.6,,,8.9,,8.8,8.6,8.6,8.6,8.5,8.1,8.3,8.3,8.4,8.3,8.4,8.5,,8.2,,7.8,7.6,,
Ghana,,,,,,,,,,,,,,,,,,,,,7,7,,,6.6,,,,,,,5.8,,,,,,,5.2,,,,,,,5.4,,,,4.7,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,6.8,,,7.2,7.1,6.9,6.7,7,7.1,7,6.7,6.1,5.8,5.9,5.9,5.8,6.3,6.6,
Guatemala,,,,,,,,,,,,,,,,,,,,2.8,,,2.1,,,,,,,,,,,3.5,,,,,,3.2,,,,,,,,4.5,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5.2,,,,,,,,5.8,,,,,6.3,,,,,7.6,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,7.2,,,,,,,,4.5,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,3.7,3.9,3.6,3.1,3.1,2.9,3.5,2.1,2.3,,2.5,2.6,2.3,2.3,1.9,2.1,2.8,2.7,3.3,3.1,2.7,2.8,3.2,3.6,3.6,3.1,3.2,3
Hungary,,,,,,,,,,,,,,,,,,,,,11.4,,10.4,,8,,9.7,7.3,,,,,8.4,,,,,8.3,7.1,8.7,8.7,8.8,8.8,8.2,8.1,7.6,7.5,7.6,7.8,8,7.9,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.4,9.2,8.9,9.1,8.6,9.1,9.5,9.3,9.3,9.9,9.4,9.5,,,
India,,,,,,,,,,,,,,,,,8.5,,,,8.7,,,,,,8.7,,,,,,,,,,,8,,,,,7.8,,7.7,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,8.3,,,9.1,,,9,,,8.9,,,8.4,,9,9.2,9.2,9.2,8.5,8.3,7.9,8,7.6,7.4,7.5,7.7,7.2,6.8,6.8,6.8,6.9,6.8,6.7,6.6,6.7
Iran,,,,,,,,,,,,,,,,,,,,4.6,,,,5.2,,,,5.5,,,,5.2,,,,,,,5.3,5,,,5.3,,,,6.8,6.3,6.3,6.1,5.9,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,8.8,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,6.8,7.1,,,,7.8,,,7.7,7.6,7.7,7.9,8.2,8.2,7.7,7.6,7.4,7.5,7.3,7.9,8,7.9,,
Israel,,,,,,,,,,,,,6.7,,,,,,,6.5,,,,,,6.9,,,,,6.1,,,,5.9,,,,4.9,,5,,,4.7,,4.8,,5,,5.1,,
Italy,,,,,,,,,,,,,,,,,,,,7.5,6.6,,7.7,,7.7,,6.1,,6.3,,,5.9,,6.3,,,6.7,6.8,6.8,6.9,7.1,6.9,6.7,6.4,6.4,6.3,6.2,6.2,5.9,6.1,6,
Jamaica,,,,,,,,,,,,,,,,,,,,,,5.4,,6.1,,,6.8,,,6.4,,,5.5,,,4.8,,5.3,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,8.2,,,7.7,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,7.3,,,,,,6,,,,,7.6,,,,,7.2,,,,8,,8.4,,8.2,,,,,,,,
