country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eswatini,42,42.2,40.2,37.2,36.2,33.8,32.9,31.8,31.8,31.3,29.7,27.6,28.5,30,30,28.7,29.5,28.8,29.1,29.6,27.6,27.1,25.7,25.9,23.8,20.9,21.4,,,,,,,,,,,,,17.9,12.1,6.93,11.7,15.4,14.6,15.7,15.6,17.4,,
Ethiopia,,,,,,,,,,,,,,,,,,70.6,70,71.3,,,,,80.8,78.1,73.8,,66.3,63.8,59.7,55.4,53.2,52.5,49.7,38.8,34.2,28.9,23.3,23.7,25.6,21.7,20.2,,13.8,14.4,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,3.35,,3,4.5,6.85,6.42,5.44,5.74,5.12,2.04,0.789,0.639,0.183,,0.368,0.395,0.68,0.879,,0.767,0.925,0.866,,0.883,0.557,,,
Finland,,,18.9,,,,,,,2.97,,,,,,,,,,,,,,1.25,1.36,1.69,1.63,1.29,0.517,0.162,0.265,0.0122,0.369,1.04,2,2.37,2.91,2.26,1.86,1.68,1.41,1.16,0.635,0.693,0.388,0.621,0.729,1.15,,
France,,2.65,2.73,2.69,2.43,,3.18,3.05,,1.06,0.705,1.15,2.38,4.53,,5.12,2.39,0.113,0.154,0.14,0.0825,0.0117,0.781,2.17,2.21,1.06,0.0534,0.0609,,3.18,3.55,3.63,3.7,3.93,3.93,0.0845,0.0292,0.132,0.504,0.894,1.27,0.242,0.37,0.579,1.36,0.515,0.167,0.0755,,
Gabon,,,,,,0.676,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,,,,,,,,,,
Gambia,,79.1,79.2,77.9,77.5,76.3,74.8,70.8,68.3,64.3,59.6,51.1,47,43.6,41.9,39.1,39.4,,,,51,,52.2,49,,,41.8,,41.1,32,35.5,35.7,37.9,34.7,34.2,36.1,31.4,29.3,33.4,,32.1,32.7,29.7,30,30.2,24.1,22.3,19.8,18.2,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,1.71,0.13,,,,,,,2.12,2.7,3.28,0.651,1.4,3.08,,2.41,1.22,0.441,0.684,0.263,2.05,0.759,0.786,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.5,0.639,4.49,3.61,2.7,2.04,1.97,1.62,2.53,2.93,2.35,2.45,3.3,3.59,3.24,1.86,0.514,0.529,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,32.1,37.5,33.5,34.2,,29.4,27.3,22,16.4,15.9,,7.97,8.78,,,,,2.18,3.62,0.816
