country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,19.5,,,,,,,,,24.8,,,,31.5,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,,,,,2.98,,4.26,,,,4.03,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,,,,,,14.8,15.4,15.7,18.2,,18.2,19,20,20.7,20.8,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,30.4,31.5,33.9,35,37,38.1,39.6,41.3,42.4,42.9,43.9,45.3,46.7
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,18.3,19.2,19.8,20.9,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,18.1,19,19.3,20.1,20.7,21.2,22.2,23.7,24.8,25.1,26.1,27,28.2,
South Africa,3.66,,,,,,,,,,1.35,,,,,2.3,,,,,,,,,,,,,,,,,4.75,5.48,4.9,4.19,4.17,4.39,4.65,5.83,6.19,6.14,6.45,,7.14,7.82,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,31.6,,,,28,35.3,,,,,40.3,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,,,,,,,
Spain,3.68,,,,,,,,,,,7.1,,,,,7,,,,,8.45,,,,,,,,,,,,,21.6,23.3,23.6,24.2,24.5,24.9,25.7,26.5,26.9,,29,29.3,29.8,,31.1
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,13.9,14.1,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,,,10.2,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,27.4,28.1,28.8,27.3,28,28.6,29.3,29.9,30.5,31.1,31.7,32.2,32.8,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,33.2,33.5,35,,35.6,36.9,36.6,,39
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,5.81,5.9,6.25,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,22.7,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,1.93,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,12.9,,,,12,,,16.9,,,19.1,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,2.86,,,,,,,,,,7.88,,,,,,,,,,12.1,,,,,6.23,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,9.61,,21.3,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,12.5,13.3,12.4,,,,15.2,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.93,8.54,8.93,9.85,10.7,11.5,12.8,13.4,14.9,15.8,17.4,18.2,19.1,
