country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Equatorial Guinea,,31600,,,36000,,,,,,,44500,45400,52000,61500,,,,,,,,,72700,75800,,,,,74900,73400,78500,78400,73800,,75800,,,81100,82400,85100,86800,92000,,,93400,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,129000,116000,109000,151000,184000,207000,224000,242000,241000,,262000,296000,299000,330000,359000,375000,378000,364000,332000,314000,300000,286000,312000,334000,396000,362000,362000,,347000,350000,
Estonia,,,,,,,,,,,,132000,134000,135000,136000,137000,139000,149000,153000,153000,128000,127000,126000,122000,121000,121000,126000,127000,128000,127000,123000,117000,109000,100000,92100,85500,79600,76000,74600,73600,73000,73100,74200,75600,77200,79600,82800,85600,,
Eswatini,69100,71500,76300,81700,86100,89500,92700,96800,101000,106000,112000,120000,125000,130000,135000,139000,142000,148000,153000,157000,166000,173000,180000,186000,193000,201000,202000,206000,209000,213000,214000,212000,209000,208000,218000,222000,230000,233000,,231000,241000,240000,239000,239000,240000,241000,239000,237000,,
Ethiopia,,655000,717000,763000,860000,960000,1080000,1180000,1140000,1380000,1810000,2130000,2370000,2510000,2500000,2410000,2450000,2740000,2880000,2860000,2660000,2470000,2060000,1860000,2280000,2720000,3380000,4010000,5090000,5170000,5850000,6650000,7210000,7620000,8270000,10000000,11000000,12200000,13400000,13600000,13600000,14300000,14500000,,15700000,16200000,,,,
Fiji,97100,101000,103000,106000,106000,105000,103000,102000,101000,99100,98900,99400,,102000,105000,109000,112000,115000,,,,122000,121000,,121000,119000,116000,116000,116000,116000,115000,115000,114000,113000,113000,,110000,104000,103000,101000,,101000,103000,105000,,109000,110000,,,
Finland,,386000,380000,381000,393000,406000,454000,439000,423000,407000,390000,373000,365000,366000,369000,374000,379000,387000,389000,389000,389000,391000,393000,393000,391000,387000,384000,381000,381000,383000,388000,392000,393000,393000,388000,382000,372000,365000,357000,351000,347000,346000,347000,348000,352000,355000,360000,364000,,
France,,4940000,4850000,4760000,4720000,4670000,4600000,4570000,4620000,4650000,4650000,4610000,4540000,4390000,4260000,4130000,4120000,4120000,4150000,4180000,4160000,4150000,4110000,4060000,4080000,4070000,4070000,4000000,3980000,3940000,3880000,3840000,3810000,3790000,3780000,4020000,4050000,4110000,4140000,4150000,4160000,4170000,4160000,4170000,4190000,4260000,4280000,4310000,,
Gabon,,101000,106000,110000,114000,121000,129000,130000,141000,142000,149000,155000,160000,166000,172000,179000,184000,191000,195000,207000,,,210000,,230000,247000,251000,256000,,265000,,266000,282000,280000,,,,,,,,318000,,,,,,,,
Gambia,,17100,17500,19400,20700,22400,24600,25500,27600,32200,37500,47100,53000,58400,64500,69500,72900,74500,75100,73700,77800,86300,90600,97300,105000,113000,125000,133000,142000,170000,175000,182000,183000,196000,205000,205000,207000,219000,221000,224000,229000,228000,244000,256000,275000,294000,309000,330000,350000,
Georgia,,,,,,,,,,,,322000,,,,,311000,,,,,352000,344000,309000,302000,291000,289000,293000,301000,302000,298000,277000,255000,239000,364000,338000,327000,322000,311000,299000,289000,286000,287000,287000,285000,289000,291000,301000,305000,
Germany,,,,,,,,,,,,,,,,,,,,,,3430000,3440000,3580000,3640000,3730000,3800000,3860000,3870000,3770000,3660000,3520000,3370000,3300000,3310000,3310000,3330000,3310000,3240000,3150000,3070000,2990000,2940000,2890000,2860000,2880000,2900000,2950000,,
Ghana,,967000,975000,1030000,1040000,1070000,1180000,1240000,1270000,1320000,1370000,1440000,1500000,1500000,1480000,1550000,1510000,1570000,1580000,1710000,1700000,1950000,2010000,2050000,2140000,2150000,2200000,2330000,,2380000,2560000,2450000,2590000,2520000,2680000,2930000,3130000,3370000,3630000,3660000,,3860000,4060000,4110000,4120000,4340000,4360000,4390000,4400000,4550000
Greece,,907000,906000,909000,922000,928000,936000,938000,933000,922000,900000,901000,891000,890000,888000,890000,888000,866000,868000,854000,835000,813000,785000,749000,724000,711000,675000,652000,649000,646000,645000,636000,646000,652000,657000,650000,645000,639000,,,643000,637000,637000,634000,629000,644000,647000,649000,,
Grenada,,30400,29800,28700,28100,22100,21200,20300,19600,19100,18700,18100,17700,17700,17300,17200,16500,18000,18200,,19200,19800,21400,22300,22600,22700,21100,23300,22300,20000,16200,16000,17400,16600,15800,14400,,13700,13900,14200,13700,,,12900,13100,13400,13200,13500,13200,
Guatemala,506000,531000,556000,571000,601000,627000,640000,680000,719000,757000,803000,875000,848000,930000,980000,1020000,1040000,1100000,1150000,,1160000,1250000,1340000,1390000,1410000,1470000,1510000,1540000,1690000,1820000,1910000,1970000,2080000,,2280000,2350000,2410000,2450000,2500000,2660000,2650000,2640000,2560000,2500000,2420000,2380000,2350000,2350000,2360000,
Guinea,,191000,164000,191000,196000,203000,199000,226000,238000,252000,263000,258000,250000,248000,246000,288000,276000,270000,289000,303000,310000,347000,359000,422000,472000,545000,584000,650000,675000,727000,790000,854000,998000,1070000,1150000,1210000,1260000,1320000,1360000,1390000,1450000,1540000,1600000,1670000,1730000,,1780000,,,
Guinea-Bissau,,28000,32900,41400,49400,75600,81900,,83100,80600,76700,74500,74800,74400,75000,76300,,77000,75900,79000,,,79900,79600,91100,100000,106000,117000,125000,,150000,182000,,,232000,252000,269000,,,,279000,,,,,,,,,
Guyana,,130000,131000,132000,132000,,130000,140000,138000,137000,132000,131000,130000,126000,122000,117000,114000,113000,115000,118000,,104000,100000,98100,98100,99700,100000,102000,,107000,109000,109000,,111000,,117000,,109000,107000,101000,99200,98700,94500,,,,,,,
Haiti,,367000,391000,411000,432000,451000,487000,511000,518000,529000,580000,642000,658000,723000,783000,820000,873000,763000,,,,,926000,997000,1090000,1190000,1310000,1430000,1490000,,,,,,,,,,,,,,,,,,,,,
Honduras,382000,393000,412000,421000,443000,461000,483000,493000,525000,575000,601000,614000,672000,704000,737000,766000,810000,,863000,,889000,908000,959000,990000,1010000,1010000,1030000,1050000,1070000,1080000,1090000,,,1260000,1260000,1230000,1290000,1250000,1280000,1270000,1270000,1260000,1220000,1180000,1150000,1150000,1150000,1120000,,
Hungary,,528000,517000,518000,528000,549000,567000,585000,590000,584000,586000,602000,647000,682000,708000,708000,677000,645000,597000,561000,531000,507000,498000,494000,508000,508000,507000,503000,504000,503000,501000,490000,478000,464000,447000,431000,416000,399000,394000,390000,388000,387000,385000,385000,393000,396000,394000,391000,,
Iceland,,27100,27300,27200,27000,26900,26400,25900,25100,24700,24600,24700,24800,25000,25300,25100,24600,24600,25100,25400,25500,29800,29600,29400,29000,29100,29200,29300,29700,30400,31300,31800,31500,31500,31000,30800,30400,30100,29900,29900,29600,29400,29400,29600,29900,30400,31200,32000,,
India,,57000000,58800000,62400000,63100000,64900000,65700000,69100000,67400000,68600000,71200000,73900000,76100000,79500000,82600000,83900000,87400000,87100000,90500000,95700000,97300000,99100000,102000000,105000000,108000000,109000000,110000000,110000000,109000000,111000000,114000000,114000000,115000000,126000000,,,,138000000,139000000,138000000,138000000,138000000,140000000,141000000,138000000,139000000,146000000,143000000,,
Indonesia,14900000,15500000,16100000,16600000,16900000,17800000,18800000,19800000,22000000,,,25500000,27000000,28000000,29100000,29900000,29900000,29900000,30000000,30100000,29900000,29800000,29600000,29600000,29900000,29700000,29400000,29200000,29300000,29300000,28500000,28700000,28900000,29100000,29100000,29100000,29000000,29800000,29500000,29900000,30300000,30700000,30800000,30100000,29800000,29700000,29500000,29400000,29400000,
Iran,,3420000,3230000,3450000,3650000,4120000,4470000,4770000,5020000,4400000,4930000,4800000,5280000,5590000,5990000,6340000,6790000,7230000,7760000,8260000,8820000,9370000,9790000,9940000,9860000,9750000,9590000,9240000,9070000,8670000,8290000,7970000,7510000,7030000,6650000,6210000,6010000,5830000,5730000,5700000,5630000,5680000,5750000,7860000,7440000,7670000,8010000,8170000,,
Iraq,,1100000,1200000,1300000,1410000,1520000,1780000,1950000,2050000,2460000,2610000,2620000,2640000,2620000,2700000,2750000,2820000,2920000,3000000,3020000,,3330000,2820000,2860000,,,2900000,,,3600000,3640000,,,4280000,4330000,,,4860000,,,,,,,,,,,,
Ireland,,400000,400000,404000,400000,402000,405000,406000,410000,415000,418000,420000,421000,422000,420000,421000,420000,422000,423000,424000,422000,417000,409000,402000,392000,381000,368000,359000,465000,457000,450000,444000,446000,448000,450000,454000,462000,476000,487000,499000,506000,511000,518000,528000,536000,545000,554000,559000,,
Israel,,,,388000,396000,406000,416000,428000,441000,453000,474000,487000,501000,517000,528000,534000,538000,535000,537000,534000,526000,545000,567000,583000,596000,619000,632000,,,662000,677000,685000,694000,702000,714000,722000,736000,758000,769000,786000,807000,821000,842000,849000,862000,884000,897000,917000,,
