country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
El Salvador,0.373,0.373,0.373,0.373,0.383,0.383,0.383,0.383,0.383,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.367,0.373,0.399,0.411,0.411,0.411,0.411,0.439,0.439,0.451,0.451,0.448,0.457,0.457,0.457,0.453,0.451,0.487,0.493,0.535,0.535,0.547,0.575,0.573,0.573,0.573,0.543,0.527
Equatorial Guinea,0,0,0,0,0,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.135,0.135,0.135,0.135,0.135,0.0762,0.0762,0.0762,0
Eritrea,,,,,,,,,,,,,,,,,,,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.146,0,0,0,0,0,0,0,0,0,0,0,0.115,0.115,0.115,0,0,0
Estonia,,,,,,,,,,,,,,,,,0.76,0.777,0.81,0.81,0.81,0.81,0.81,0.81,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.741,0.741,0.741,0.766,0.741,0.766
Eswatini,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.343,0.343,0.343,0.343,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.304,0.302,0.302,0.33,0.33,0.33,0.33,0.334,0.354
Ethiopia,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.197,0.197,0.206,0.206,0.201,0.201,0.275,0.323,0.329,0.333,0.336,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.336,0.336,0.336,0.336,0.336,0.336,0.345,0.345,0.345,0.335,0.327,0.327
Finland,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.744,0.738,0.774,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.777,0.777,0.777,0.777,0.777,0.734
France,0.624,0.624,0.624,0.624,0.624,0.624,0.647,0.647,0.647,0.652,0.652,0.646,0.652,0.652,0.652,0.652,0.652,0.656,0.623,0.656,0.656,0.652,0.652,0.652,0.652,0.652,0.652,0.646,0.646,0.652,0.652,0.652,0.652,0.652,0.652,0.733,0.749,0.749,0.617,0.617,0.617,0.617,0.631,0.631
Gabon,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.368,0.368,0.368,0.368,0.368,0.368,0.408,0.416,0.42,0.424,0.42,0.42,0.42,0.42,0.42,0.42,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.389,0.389,0.325,0.413,0.413,0.413,0.413,0.402,0.374
Gambia,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.578,0.578,0.578,0.578,0.578,0.581,0.417,0.366,0.368,0.368,0.358,0.358,0.358,0.358,0.346,0.338,0.338,0.338,0.338,0.338,0.335,0.335,0.335,0.335,0.335,0.313,0.313,0.313,0.313,0.804,0.804
