country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jamaica,,,,,,,75.8,74.5,,,90.2,90.7,,85.1,85,85.5,83.7,,,,95.9,100,,98.6,,,,,,,97.6,95.1,92.4,92.8,100,,,,,99,99.5,95.1,,90.6,85.6,88.3,,85,82.4,
Jordan,,,,,,,,,,,,,,,,,,,42.6,55.6,,,,,,,,,,,,,84,84.9,83.6,,79.4,81.6,82.7,,,79.9,76.8,70.4,68.5,,,58.7,59,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,90.6,,,94.2,,,94.9,99.7,98.3,94.5,96,95,95.7,95.4,95.6,101,102,98.3,97.2,103,106,109,117,111,114,118
Kenya,,13.3,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,78.5,79.2,,,
Kiribati,,,,,,,,,,14.7,15.6,17.2,12.8,15.3,15.6,,23.5,,,42.9,42.9,50.7,46,,,,,,,,,,,,,,,,,,,,,,102,,94.6,,,
Kuwait,,,,47.7,46.4,44.4,56.3,58.5,55.1,56.4,61.7,74.5,82.7,87.4,95.4,90.1,,,72.6,,,,55.1,,65.8,75.5,86.7,88.3,,83.2,89.3,86,92.8,95.7,99.3,112,81.9,97.3,95,96.8,96.9,,92.6,89,,,89.5,92.6,94.3,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,,,,93,94.1,90.2,86.5,87.3,87,86.5,84,85.3,90.2,92.1,89.1,88.7,91.7,90.7,90.3,91.7,95.1,
Lao,,1.44,1.63,1.71,2.04,,,,,,,,,,,,,,22,,22.5,,20.6,21.9,23,,,26.9,,32.8,35.3,36.7,40.5,43.3,45.4,45,43.1,43.2,44.5,47.4,42.3,43.9,46.8,50.2,55.5,62.3,66.6,69.3,67.1,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,82.4,84.8,85.8,,,,,,,,,,,,,,,,105,99.9,95.6,96.2,98.8,,
Lebanon,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,6.45,12.4,,,,,,,,,,,,,18.4,18.7,,,,,,,,,,,22.8,24.9,23.9,25.8,25.7,27.2,29.4,30.6,31.8,31.6,33.9,40.8,45.2,,48.8,48.6,49.9,,46.9,47.4,,
Liberia,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,36.6,40.7,,43.1,,,37.9,,,44.2,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,,71.9,73,83.2,100,108,119,105,,,105,95.3,95.9,98.4,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,89.7,80,,63.9,80.3,90.5,96.3,96.5,,,,,,,,103,103,106,101,101,101,98,,
Luxembourg,,27.7,24.4,21.7,19.9,39.4,41.2,50.9,53.6,54.6,56.2,,,,,24.6,,22.2,20.2,,,,,,,,,,,,,,,,,,97.6,96.2,95,,102,103,110,99.1,97,97.2,98.7,95.3,,
Madagascar,,9.92,10.8,,10.2,10.5,,,,,,,,,,19.4,,,17.8,17.1,16.3,15.2,,,12.1,,13.2,,,,13.3,12.7,13.1,14.2,15.5,18.2,20,22.2,24.8,26.9,28.8,31.5,33.5,37.7,37,37.7,36,36.6,37,
Malawi,,,,,16.8,19.6,20.8,23.5,24,20.6,27.6,26.8,30.3,30.4,31.9,31.4,29.4,26.5,26.2,26.2,26.8,29.5,22.9,37,27.3,52.1,49.9,,,33,,,,,,17.2,20.3,18.4,19.5,20.2,19.5,19.9,19.4,21.6,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,87.2,88.4,85.5,84.1,94.1,90.2,86.4,86.9,87,86.5,85.1,84.7,85,85.6,83,84,86.2,83.3,83.3,81.8,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,82.5,97.6,104,,,,97.6,102,97.8,99.5,102,108,,
Mali,,3.89,4.05,4.7,4.26,,6.12,,7.12,,,6.38,5.23,6.25,5.77,5.54,5.49,4.83,4.85,,,,,,,,,,,,,15.9,16.6,,,,,,30.5,33.8,36.1,40,,30.1,33.4,30.8,30.6,29.7,,
Malta,,22.1,32.7,37.3,35.9,52.3,48.2,46.8,46.2,49,48.8,36.2,47.5,48.2,50.2,49.6,53.1,45.4,48.5,49.6,48.6,55.6,65,64.6,65,71.2,70.1,75.7,80.2,83.6,83.6,83,87.1,93.5,96.3,97.5,99.7,98.7,96.9,93.9,100,101,103,97.9,101,95.4,100,107,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,95.9,,,,,95.6,96.2,95.7,,109,,,,,,,,
Mauritania,,,,,,,,,5.08,5.91,7.33,8.22,,10.4,,12.5,11.7,12.7,13.1,11.7,,11,11.6,11.2,11.5,13,,,,13.8,,17,16.2,16.4,16.6,17.7,20.4,17.1,,16.9,,,20.3,,29.5,32.4,29.4,36.3,41.9,
Mauritius,,,,40.2,39.2,37.6,41.8,45.1,52.1,64.2,,52.2,50.4,,48.5,50.8,46.4,47,50.7,62.8,63,64,57.4,64.1,69.8,74.7,70.8,70.5,74.2,71.3,75.4,75.7,74.5,78.1,77,80.5,77.9,78.3,83.9,84.1,81.9,84.7,82.3,84.6,85.9,84.2,88.5,84.2,86.8,
Mexico,,,,,,,,39.1,41.1,44.4,48.5,48.9,52.5,54.1,,60.4,61.6,62.1,62.2,63.2,61.9,60.2,59.8,59.3,60.5,61.6,,66.9,,,70.2,,74.8,77.9,80.1,82.1,81.8,82.3,82.4,84.5,85.1,85.4,85.4,86.9,87.3,93,96,97.2,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,86,86.7,,,72.8,86.9,80.4,82,86.2,86.3,88.8,89,86.3,87,86.9,87.8,86.4,85.1,83.4,85,84.1,83.1,82.1,85.1,
Mongolia,,,,,52.7,62.5,70.6,,81.3,83.2,84.6,,,,,,,,,,,,,,,63.7,109,58.2,,57.7,62.7,66.7,78.5,79.9,83,89.8,94.6,93.7,91.1,91.3,107,,,,,,,,105,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,96.7,,,92.4,97.1,99.4,95.2,
Morocco,,10.7,10.2,8.78,,10.8,12.3,12.9,14.8,17.8,18.7,19.4,,22.3,,24.5,27,27.4,29.8,32.3,33.2,34.1,32,29.9,32.9,33.2,,32.6,,31.5,33.4,35.5,39.2,40.2,41.8,,47,51.2,54.1,59.3,60,61.5,63.3,65.8,68.5,70.7,68,65,64.9,
Mozambique,,,,,,,,,,,,,,9.52,,11.4,11,,,,9.46,,9.28,9.04,8.88,9.51,,,,2.77,3.87,,5.77,,7.34,9.83,10.8,13.6,17.6,19.7,21.1,22.8,22.7,23,22.6,22.9,,22.8,,
Myanmar,,12.9,12,13.4,12.7,,,,,,,,,,,,,,,,,,,,,,,,,30,33.2,33.8,34.4,35.1,40.2,39.9,41.8,40.4,,43.9,43.8,,,,49,,54.7,61.1,64.8,
Namibia,,,,,,,,,,,,,,,,,,,,,,,43.9,,48,50.7,53,53.4,53.1,52.8,52.1,,,,,60.8,61.6,,60.4,63.1,60.8,,61,62.1,,,,76.7,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,35.6,33.7,,,,,,,,,,73.3,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,31.3,,,34,36.9,,,,,,,38.8,42.4,46.2,48.5,47.7,,,,,60.6,,66.6,67.2,73.6,79.2,83.7,86.6,89.6,94.6,,99.5
Netherlands,,53.5,48.6,52,54.9,55.1,56,56.7,57,57.9,57.7,58,58.2,58.6,62.1,63.5,64,63.9,62.9,61.4,62.4,62.4,64.1,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,20.2,,,,,,,,22.3,26.7,23.3,,29.5,27.6,27.6,29.4,32.6,,,,43.3,44.5,45.6,49.4,,54.4,58.8,60.1,62.3,59.9,,66.4,,,,,,,,,
Niger,,0.619,0.86,1.17,1.39,1.48,1.49,2.1,2.19,2.72,,4.25,,,,,5.48,,,4.43,4.99,5.14,5.05,,,,,6.38,,,4.78,4.86,4.44,4.85,6.82,7.11,7.9,7.57,8.78,8.85,8.68,10,11.5,12,12.2,15.3,16.6,17.8,19,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,26.9,,37.1,,,,,,,47.1,,,,,,,,,
