country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,,2.77,2.77,2.88,2.69,2.97,,5.42,,,,7.13,5.8,4.18,3.8,3.46,3.57,4.14,3.68,4,3.77,3.74,3.64,4.31,,4.08,3.54,,,4.22,4.03,4.07,4.48,4.36,4.3,4.06,4.29,4.6,3.91,3.84,3.71,3.48,3.17,3.07,2.8,2.8,3.37,3.79,3.96
Iraq,,,,,,,,3.86,,,2.42,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,4.48,4.61,4.6,4.68,,4.29,5.08,5.06,5.28,5.32,5.73,5.38,5.44,5.28,5.24,5.29,5.52,5.01,4.71,4.6,4.78,5,5.11,5.18,4.87,4.75,,4.29,4.14,4.14,4.09,4.11,4.21,4.49,4.52,4.55,4.71,5.44,6.14,6.04,5.86,5.77,5.33,4.88,3.76,3.72,,
Israel,,,,5.37,5.95,6.04,5.95,5.85,6.63,6.71,7.16,7.1,6.67,7.02,7.01,8.03,6.14,5.53,4.52,5.72,5.43,5.44,5.59,5.96,6.45,,,,6.66,6.43,6.12,6.38,6.47,6.36,5.95,5.76,5.76,5.51,5.54,5.49,5.54,5.56,5.69,5.88,5.78,5.85,5.85,,
Italy,3.38,2.91,,,3.85,3.72,3.93,,3.79,4.18,,,,4.5,4.79,4.71,4.67,,4.61,,,,,4.75,4.45,4.33,4.46,,4.46,4.52,4.3,4.67,4.45,4.55,4.4,4.25,4.54,4.12,4.4,4.54,4.35,4.14,4.08,4.16,4.08,4.08,3.83,,
Jamaica,,,,3.63,4.25,5.23,5.86,6.03,,,,,,,,5.39,4.6,,3.94,5.18,4.78,4.38,3.34,3.21,4.06,3.39,3.68,4.38,,,4.98,5.38,5.38,4.26,3.91,4.62,,5.49,6.19,6.2,6.37,6.27,6.11,6.25,6.02,5.46,5.32,5.26,5.41
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.59,,3.19,,
Jordan,3.63,3.3,2.39,2.49,3.56,3.76,3.53,3.68,3.68,5.08,,5.17,5.09,4.93,5.94,,3.28,3.3,4.05,5.64,,,,,,,7.48,6.36,,4.94,,,,,,,,,,,,,,,,,3.84,3.54,3.59
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,3.92,4.37,,3.89,3.26,,3.03,,2.26,2.26,2.63,2.83,2.59,3.06,,,,,,2.79,2.98,2.82,2.75
Kenya,,3.93,4.48,4.65,5.07,5.61,5.74,5.14,,,5.39,5.92,5.68,5.44,4.58,5.2,6.01,,6.6,6.04,,6.57,6.08,6.03,5.92,,,,,5.32,5.19,5.21,6.17,6.49,6.8,7.34,7.05,,,,5.51,5.34,5.51,5.41,5.28,5.27,5.36,5.37,5.32
Kiribati,4.79,4.27,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,10.9,11.2,12,,,,,,,,,,,,,,,,,
Kuwait,,3.29,2.82,3.3,3.52,2.14,3.12,3.37,4.08,3.43,2.79,2.72,3.03,5.09,5.15,5.01,5.4,,,,,,14.2,,,,5.86,5.58,,,,6.59,6.55,,5.54,4.74,3.76,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,5.59,6.16,4.9,,4.92,4.09,3.51,3.85,4.45,4.48,4.62,4.87,5.55,6.47,5.91,6.23,5.82,6.79,7.38,6.78,5.53,5.99,6.59,6.03,
Lao,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,2.43,2.13,,,1.5,1.99,2.83,,2.41,2.41,2.96,3.08,2.28,1.65,1.71,1.71,1.82,3.23,2.94,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,5.51,5.8,5.54,5.29,5.45,5.61,5.07,4.86,,4.71,4.66,5.41,5.57,5.08,4.94,6.59,6.99,5.28,5.34,4.72,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.93,2.22,2.08,,,,,2.84,2.55,,2.64,2.65,2.78,2.58,2.01,1.76,1.61,1.65,2.14,2.43,,,,,
Lesotho,,4.64,4.53,4.87,4.23,,,,,,,,,10.1,6.43,7.09,,,7.22,6.2,,,,8.58,7.03,8.64,,11.4,,12.5,10.1,9.37,10.1,13.2,11.1,12.1,11.3,,12.1,,,,,,,,,7.42,6.51
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,1.78,1.73,2.28,,,2.76,2.58
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,2.43,,2.05,1.92,2.05,,,2.56,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.84,5.45,6.12,,,5.84,5.79,5.11,5.17,4.87,4.82,4.59,4.83,5.58,5.3,5.12,4.77,4.61,4.49,4.22,4.01,,
Luxembourg,2.22,2.76,2.65,2.72,,3.31,3.49,3.57,4.19,4.25,4.4,4.53,5.1,3.21,,,3.66,3.94,3.88,3.74,,,,,,3.53,3.34,,,,,3.56,,,,,,,,,,,4.09,,4.01,3.96,,,
Madagascar,,,3.22,2.71,2.67,2.52,3.26,5.05,,3.97,4.32,3.81,3.15,2.65,2.93,2.76,,,,,,,,2.14,,,,1.85,1.87,2.77,2.91,3.25,2.72,3.04,3.26,3.85,3.28,3.37,2.91,3.18,,2.78,2.73,2.08,2.79,2.57,3.2,,3.23
Malawi,,4.4,3.38,3.33,3.09,2.7,2.42,,,,,,,,,,3.2,3.53,3.17,3.18,3.27,,,,,4.01,5.38,,,4.99,5.25,4.51,,3.22,,,,,,,3.54,4.15,,5.42,4.84,5.61,4.75,4.03,4.71
Malaysia,,4.55,,,,,,,,5.09,5.73,6.7,7.03,,5.67,6.11,7.24,6.33,,,,,5.11,4.65,4.71,4.34,4.91,4.62,,5.69,5.97,7.48,7.66,7.5,5.92,,4.49,4.37,3.96,5.97,4.97,5.76,5.74,5.48,5.21,4.97,4.82,4.74,4.53
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,5.32,4.66,5.02,4.65,4.42,4.47,5.77,4.12,3.51,3.76,3.8,3.47,4.37,4.07,,
Mali,,,,,,,,,3.56,,3.47,3.45,3.28,,,,2.44,,,,,,,,,,,,2.65,2.23,2.97,2.66,2.9,3.81,3.86,3.52,,,3.42,3.87,3.34,3.75,3.48,3.28,3.65,3.8,3.1,3.79,
Malta,,6.15,5.55,5.27,4.49,4.42,3.83,3.9,3.35,3.15,,2.87,2.85,3.31,3.08,3.25,3.11,3.17,3.34,3.59,3.83,3.92,4.31,,,,,,4.28,,,,3.95,,4.46,,,5.98,5.57,5.17,6.45,7.8,6.52,7.88,7.21,5.2,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,8.67,12.2,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,2.43,,2.84,3.06,3.1,2.52,,2.52,,3.55,,3.6,3.05,2.78,2.94,,,2.63,,
Mauritius,,,,,,,,4.44,5.57,,,5.05,4.6,4.45,4.09,3.96,3.48,3.06,3.13,3.52,3.17,3.51,,,,,,,,3.94,3.77,3.11,3.06,4.42,4.31,4.08,3.7,3.19,3.06,3.05,3.55,3.33,3.42,3.62,4.92,4.89,5.01,5.02,4.83
Mexico,,,,,,,,,,,,,,,,,,,,2.28,2.32,2.55,3.01,,3.65,3.69,,,3.37,3.54,3.99,4.24,4.45,5.07,4.73,4.85,4.7,4.69,4.82,5.19,5.16,5.11,5.1,4.7,5.26,5.24,4.91,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,6.71,,,,,,,,,,,,,,,12.5,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,4.66,4.49,4.85,5.5,5.42,6.77,7.16,7.5,8.29,8.24,9.51,7.59,7.14,6.98,,6.27,,5.61,5.62,5.51
Monaco,,,,,,,,,,,,,,,,,,,0.881,0.958,,,0.914,,,1.06,1.08,1.21,1.21,1.2,1.26,,,,1.24,,,,,1.35,1.32,1.59,1.78,1.33,1.02,,1.37,1.46,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,5.49,5.15,5.55,,7.21,,4.33,,,4.69,,5.14,4.65,4.61,5.2,4.94,4.71,4.18,5.18,4.09,
Morocco,,,,4.67,4.28,5.21,6.03,6.08,6.2,6.32,5.1,5.69,6.12,6.17,5.19,5.1,5.26,5.16,4.58,4.76,4.51,4.3,,4.82,,4.73,,,5.12,5.14,,,,,,,,,5.34,5.26,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.13,,,,,3.72,4.43,4.27,,,,,,6.08,6.48,,,6.42,5.75,5.6
Myanmar,,,2.87,3.27,,1.99,1.73,1.64,1.64,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,0.787,,,,,,2.16,1.97
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,6.99,7.05,6.9,6.27,,,6.16,,6.48,,8.35,,,,3.1,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,2.89,2.98,3.71,3.15,3.11,3.17,3.36,3.61,3.52,3.81,4.66,3.63,3.84,3.76,3.47,3.99,3.7,4.44,5.52,5.16
