country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mauritius,,,,,,,,,,,,5.97,4.56,3.13,3.42,5.26,3.32,4.52,2.7,3.32,3.59,,7.01,6.68,7.12,8.13,7.85,7.31,7.03,
Mexico,,,,,,4.47,6.03,4.19,4.18,2.39,1.86,3.3,3.96,4.6,5.09,4.05,3.97,4.28,3.94,5.09,5.61,5.16,4.98,5.14,5.38,4.95,4.96,4.33,4.15,4.44
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,5.86,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,6.51,6.03,5.37,4.74,3.89,3.73,4.5,3.65,3.26,2.83
Mongolia,,,,,,,,,,,,,,,,,,,4.77,7.37,6.36,4.58,4.25,5.19,4.48,5.76,7.46,7,5.69,7.29
Montenegro,,,,,,,,,,,,,,,,,,,,,,13.2,10.9,9.83,9.93,10.3,11.9,10.9,10.3,11.3
Morocco,,,,,,29.2,,,,,,,27.2,30.3,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,2.7,2.29,0.803
Namibia,,,,,,,,,,,,,,,,,,,,,,,3.67,5.49,5.69,,11.1,,12.2,
Nepal,,,,,,,,,,,,,,,,,,,5.04,,,,,,,,,8.46,,
Netherlands,,,,,,4.76,,,2.11,1.72,1.71,1.59,1.73,2.37,2.84,3.54,2.9,2.39,2.14,2.76,3.09,3.13,3.4,4.17,4.05,3.86,3.51,2.89,2.47,2.27
New Zealand,,,,,,1.62,,1.28,,1.92,2,2.23,2.4,,4.57,3.9,2.93,2.61,2.95,4.16,4.56,4.23,4.79,3.97,,,,,,
Nicaragua,,,,,,9.72,,,,,,,,,,,,,,,,,7.26,,7.1,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,3.28,,,7.29,,,4.82,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,15.3
North Macedonia,,,,,,,,,,,,,,,,,21.2,20.5,21.4,21.3,21.8,23,22.4,23.5,22.5,21.1,19.4,18.7,17.8,14.3
Norway,,,,,,,,,2.57,2.2,2.5,2.4,2.61,3.04,3.21,2.6,1.94,1.55,1.32,1.62,1.84,1.68,1.77,1.93,2.18,2.61,3.03,2.41,2.32,2.19
