country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.886,0.886,0.886,0.886
Dominican Republic,0.155,0.155,0.155,0.155,0.282,0.282,0.282,0.282,0.282,0.289,0.289,0.289,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.309,0.309,0.309,0.317,0.316,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.315,0.31,0.294,0.294,0.356,0.356,0.309,0.226
Ecuador,0.37,0.375,0.375,0.401,0.492,0.521,0.521,0.518,0.518,0.52,0.479,0.479,0.479,0.479,0.503,0.503,0.503,0.503,0.498,0.511,0.483,0.478,0.499,0.499,0.495,0.499,0.494,0.49,0.495,0.495,0.503,0.507,0.521,0.538,0.538,0.536,0.536,0.519,0.511,0.511,0.511,0.511,0.568,0.573
Egypt,0.383,0.383,0.383,0.383,0.383,0.296,0.296,0.286,0.286,0.282,0.287,0.287,0.287,0.287,0.287,0.188,0.188,0.193,0.194,0.207,0.141,0.137,0.137,0.137,0.137,0.137,0.127,0.127,0.127,0.127,0.127,0.127,0.137,0.137,0.137,0.137,0.305,0.333,0.318,0.326,0.231,0.231,0.223,0.241
El Salvador,0.309,0.309,0.309,0.309,0.319,0.378,0.378,0.378,0.378,0.332,0.332,0.332,0.332,0.332,0.377,0.377,0.377,0.408,0.421,0.421,0.421,0.421,0.421,0.424,0.424,0.424,0.421,0.416,0.416,0.378,0.369,0.369,0.369,0.377,0.428,0.428,0.428,0.428,0.479,0.488,0.488,0.477,0.46,0.358
Equatorial Guinea,0.0439,0.0439,0.0439,0.0439,0.0439,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.203,0.221
Eritrea,,,,,,,,,,,,,,,,,,,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.425,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.394,0.398,0.39,0.394,0.394,0.394,0.363,0.373,0.365
Estonia,,,,,,,,,,,,,,,,,0.635,0.653,0.653,0.653,0.653,0.653,0.653,0.632,0.68,0.704,0.698,0.692,0.692,0.711,0.744,0.731,0.731,0.744,0.744,0.778,0.778,0.743,0.783,0.783,0.787,0.787,0.787,0.724
Eswatini,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.297,0.297,0.297,0.297,0.346,0.315
Ethiopia,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.423,0.423,0.435,0.435,0.435,0.435,0.425,0.419,0.425,0.425,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.422,0.422,0.412,0.412,0.412,0.407,0.398,0.404,0.404,0.428,0.473,0.469
