country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jordan,,,,,,,,,,,,,,,,,,,,43.8,,,,,,50,,,,,44.4,,,,,44.9,,,,42.5,,41.7,,42.4,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,,,,42.9,42.3,41.3,40.2,46.1,39.5,39.3,38.1,37.7,37.7,37.6,37.7,37,37,36.9,37.2,37.4,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,48.9,,,51.3,,,,,,,,52.2,,,,,,,,,,47.5,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,,40.2,39.1,39.1,38.1,43,41.3,44.9,41.8,40,39.3,39.2,37.7,37.3,38.3,37,38.8,37.2,37.4,37.8
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,43.7,,,,,41.7,,,,,43.9,,,,,44.6,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,39.3,39.7,,,,,,,,43.5,45.5,42.6,44.1,43.5,42.6,41.7,42.8,42.3,42.6,42.2,41.5,41.5,42.4,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,60,,,,,,,,66.5,,,,,,,,55.4,,,,,,,,,,,,,,,49.8,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,41.3,,42.8,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,,,,,,,,43.7,42.6,42,42,42.9,43.4,40.3,39.9,42,42.5,44.1,44.2,45,43.9,
Luxembourg,,,,,,,,,,,,,,,,,,,36.2,,,,,,36.6,,,36.6,,,38.7,,,39,,,38.6,38.7,39.4,39.4,39.7,40.8,39.2,38.8,39.9,41.7,39.7,39.1,41,40.3,41.4,
Madagascar,,,,,,,,,,,,,,52.5,,,,,,,,,,,,,51.4,,,,46,,45.2,,53.5,,,,47.5,,,,,49.5,,49.4,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,47.5,,,,,,51.8,,,,,,51.7,,
Malaysia,,,,,,,,,,,,,,,,,,53.9,,,52.7,,52,,,53.1,,,53.8,,54.3,,,,,,,51.4,,,51.4,50.8,,,49.6,,47.7,,47.3,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,45,,,,,,,39.8,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,,,,,,,46.5,,,,,46.1,,,41.3,,,,,,,,,
