country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Zealand,,,,,,,,1.38,,1.36,0.606,0.335,0.248,0.453,0.523,0.416,0.465,1.88,1.46,2.57,0.728,1.05,1.67,,,,,,,,,,,,,,,,,,,,,2.46,2.38,2.3,2.29,1.96,,
Nicaragua,,59.4,,,,,,,,,46.8,,,45.1,49.8,51.9,53.1,51.7,,51.7,,,,,,,,,,,33.7,36.7,31.6,,25.6,23,9.67,,,,12.3,,,,,,,,,
Niger,,,,,95.7,,,94.4,93.7,,,90.7,,,,,,,,,88.8,88.2,,,,,,88.1,,88,,88.1,87.7,87.7,86.4,82.3,,78.4,79.5,80,79,79.2,,,71,69,65.9,64.9,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669,2.06,2.29,2.24,1.06,0.467,0.479,0.386,0.207,0.169,1.38,1.77,0.635,0.254,0.981,1.12,0.661,0.329,0.475,0.801,,
Oman,,,,,,,,,78.3,76.7,,73.5,70.4,,,,,,,,,,,32.5,,,,,,17.8,15.2,14,14.8,15.3,,,,,,4.65,,7.74,8.41,0.608,,1.56,0.619,1.85,2.65,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,58.9,59.5,59.9,,58.9,57,56.2,,38.7,34.9,35.1,32.2,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,17,15.9,14.3,11.4,8.86,7.08,8.05,8.37,9.83,11,13.2,14.9,14.1,13,11.4,8.97,7.35,5.37,2.59,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,20.6,17.8,15.7,,16.8,18.6,18.6,,14,12.6,10.5,12.5,,8.39,11.3,9.61,,12.2,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,21.1,,,18.8,,15.6,15.4,14.2,12.6,12.4,13.5,13.8,13.4,13.3,13,14.6,9.97,,,,,,,
Peru,31.1,,,,,,,,,,,15.2,,,,,,,,,,,,,,13.1,12.6,13.4,11.2,9.49,7.63,6.87,7.94,,9.51,7.07,4.34,1.57,1.71,1.33,1.42,3.29,,,,,3.4,0.676,1.77,
Philippines,,,,,,,,,,28.9,,,,,,,,,,,,,19.7,18.4,17.9,,16.9,,28.8,24.2,,13.2,10.2,8.59,7.16,7.71,8.25,7.85,7.06,6.18,,,,,6.07,6.68,8.04,10.7,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,1.89,4.14,4.14,3.76,2.87,2.65,3.62,5.28,7.13,8.1,7.83,7.66,6.73,6.16,5.21,4.15,3.31,3.21,,
Portugal,,,,29.7,28.5,,26.6,25.2,27.4,,,,,,,,,,,,,,,7.94,2.1,1.67,,,,0.0859,0.268,0.272,0.368,0.0313,,,,,,,,,,0.918,0.953,0.858,0.466,0.342,,
Qatar,,31.3,25.9,21.3,22.4,,8.45,12.4,13.2,5.39,6.01,6.63,,7.26,8.54,6.35,2.94,13.4,13.6,,10.7,12.4,12.6,7.78,9.58,,,,15.2,9.1,,7.45,2.99,,,3.43,10.2,3.43,,,,1.67,11.2,10.6,6.67,5.95,7.24,9.92,5.7,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,5.92,6.24,8.16,6.91,8.46,7.82,7.56,5.79,3.94,4.42,5.61,5.79,5.55,4.97,,4.65,5.46,6.74,7.41,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,1.88,0.481,0.641,0.163,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19,8.33,3.91,23.9,,,,,,,,1.12,,,,,0.32,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,3.28,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,26.2,13.6,,12.7,11.7,14.1,14.4,,,11,12.6,9.59,,,,
Saudi Arabia,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,3.07,,1.44,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,53.8,56.7,,,,,,,,,,,47.8,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.55,2.67,0.562,0.352,0.217,1.2,0.0492,1.32,1.55,1.73,
Seychelles,,,,,,,,,,7.55,,,,,,,,,,,,,,2.72,3.46,4.97,,,,,,3.24,3.02,,,,,,,,,,,,,,,,,
