country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,75.9,76.5,78.4,79.4,80.5,81.7,81.6,82.3,83.3,84.3,86,87.3,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,50.5,,,,61.7,,75.3,75.5,74.9,76.2,78.3,79.6,,,,
Malawi,,,,,,,,1.2,,,,,,,,,,2.47,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,30.4,,,,36.4,,,,,27.6,,,,49.4,50.9,,,,,,58.3,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,,,,,7.96,,,,6.04,5.64,,7.12
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,22.8,,23.1,,,25.9,27.4,32.4,34.5,35.8,36.9,38.1,,45.2
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,,20.4,,,,,,,,,,,43.6,,,,,,,42.7
Mexico,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,18.6,,,,22.4,25.9,30.3,30.2,30.3,31.4,29.2,,33.8,31.6,31.8,33.3,33.3,34.1,35.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,74.2,75.2,74.4,74.4,74.5,74.1,74.7,74.7,,,75.2
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,,,,,,,,,67.6,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,,,,,,72.6,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,,,,9.45,,8.69,
Myanmar,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,,,,,,,,,,
Nepal,,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,16.8,,,,,,,
Netherlands,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,65,,67.4,66.2,66.3,66.8,66.4,67.1,69.5,69.4,69.6,70,,71.1
New Zealand,,,,,,,,,,,,56.7,,,,,,,,,,46.9,,,,,,,,,,71.2,,,,,72.8,,,,,69,68.8,,69.5,69.5,70,,
Nicaragua,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,,,,,,
Norway,28.1,,,,,32.3,,,,,38.2,,,,,,,,,,66,,,,,,,,,,,,,,80.7,71.3,73.2,73.6,74.9,74.9,75.4,76,,,77,77.5,77.8,78.2,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,41.5,,41.2,,,,,50.4,,,
Pakistan,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,23.3,,22.6,23.3,23.9,24.2,25.6,26.1,27.7,,27.6,27.3,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,31.2,32.1,32.8,35,35,36.4,38,38.5,38,39,39.6,,42.6
Panama,12.6,,,,,,,,,,19.8,,,,,,,,,,30.8,,,,,,,,,,33.7,,,,,,,,,,43,,,,,,,,
Paraguay,,,6.55,,,,,,,,,,10.4,,,,,,,,,,17.6,,,,,,,,,,,24.1,,29.6,27.4,26.4,28.6,27.1,,,32.1,36,36.6,38.8,36.6,,39.4
Peru,,,11.6,,,,,,,,,21.6,,,,,,,,,,,,20.7,,,,,,,,,,,46.8,44,44.1,46.7,46.9,47,52.9,53.5,56,55.8,55.5,56,,,58
Philippines,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,51.1,,,,,,56,,,58.5,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9,,,,,,78.8,79.9,80.8,81.5,82.1,82.8,83.5,,84.9,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,15.3,15.7,16.4,16.7,18.4,20.3,21.3,22.4,22.3,22.8,24.1,25.6,27.9,30,31.9,34.2,35.4,36.8,37.6,37.1
Qatar,,,,,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,,41,,,49.3,50.8,43.4,36.7,41.1,41.3,46.1,44,,41,41.3,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,64.3,64.7,64.2,64,64.9,65.8,66.5,63,64.7,66.4,67.4,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,,,,,,,,84.5,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,,8.42,,8.46,,,,9.86
Samoa,,6.34,,,,,8.5,,,,,28.1,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,72.5,,,,,,,
