country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Sudan,,,,,,,,,,,,,,,,,,40.2,,,,
Spain,,27.6,28.6,29.1,29.4,29.4,29.1,28.2,28.2,28.2,28.6,28.7,27.7,27.3,26.9,27.2,27.4,28.4,29.2,29.8,,
Sri Lanka,,,,,,,,,,,,,6.44,7.12,7.33,7.29,,,,,,
St. Kitts and Nevis,,,,,3.75,3.29,3.89,3.4,,3.78,3.84,3.42,4.08,4.47,5.2,11.7,4.32,4.89,5.6,,,
St. Lucia,,,,,,4.87,,4.06,3.68,3.75,3.04,2.96,2.83,3,3.26,3.41,3.58,3.75,3.7,3.46,3.1,
St. Vincent and the Grenadines,,,,,,,,24.6,,28,23.7,27.4,24.2,25.3,25.9,27.3,27.3,27.6,27.6,27.9,28.3,
Sudan,,,,,,,,,,,,,13.3,,14.5,,16.2,14.3,19.4,20.3,,
Suriname,,,,22.1,,,,20.4,19.8,18.3,18.7,17.7,0.781,0.801,0.828,0.839,0.778,0.901,,,1.16,
Sweden,,1.84,2.29,2.94,3.9,,8.33,9.58,10.7,12.1,13.8,15.6,17.5,19.4,21,16.9,16.3,16.4,16.8,17.8,,
Switzerland,,7.88,7.67,7.64,7.15,6.98,6.99,7.06,7.1,7.28,7.25,7.32,7.37,9.73,10.6,12.1,,12,12.1,12,,
Syria,,4.89,4.87,4.8,4.55,4.25,4.05,4.1,4,3.84,3.93,3.85,3.88,4.19,3.96,3.6,,,,,,
Tajikistan,,,,,,,,,,,,,,1.07,,1.25,,,,,,
Tanzania,,,,,,,,,,,,,,,,,18.8,19,18.8,18,,
Thailand,,,,9.1,11.3,,10.4,13.4,15,18,,16.1,15.7,16.2,16.4,16.8,11,10.5,10.7,10.6,10.6,
Timor-Leste,,,,,,,,,,,21.8,22.2,25.8,26.5,25.1,24.4,23.3,23.9,24.3,24.8,24.6,
Togo,,17.7,,,,,,29.2,31.3,,,,,23.3,,,,,,27,,
Tonga,,72.8,,,,,,,,64.1,63.7,64.2,64.2,65.2,,68.5,69.1,69.3,,,,
Tunisia,,8.18,7.6,7.64,3.98,3.91,3.9,5.19,4.7,4.66,4.54,4.15,4.84,4.77,,6.39,7.34,7.47,7.22,,,
Turkey,,,,,,,,,,,,,,,3.27,3.04,3.47,4.09,6.81,7.04,,
Tuvalu,,,,,,,,,,,,,,,,,6.66,,,,21.3,
Uganda,,,,,,,44.6,,,,,,,,,,,,,,,
Ukraine,,0.252,,0.251,0.317,0.359,0.415,0.445,0.432,0.417,0.422,0.395,0.369,0.368,0.376,0.378,0.383,0.379,0.423,0.486,0.553,
United Arab Emirates,,,,,,,,,,,,,,,,,,,66.4,63.6,,
United Kingdom,,25.7,26,25.7,26.8,26.3,28.9,29.5,25,24.9,26,27.4,29.3,29.4,39.4,66,69.5,70.8,,74,,
United States,,,,,,,,,,,,,8.43,8.27,8.22,8.09,7.91,8.15,8.86,8.95,,
Uruguay,12.7,,11.8,11.9,11.2,10.5,10.9,11.2,11.3,12.5,14.2,14.5,,12.8,12.8,12.9,13,12.8,12.2,11.4,,
Uzbekistan,,,,,,,,,,,,,,,0,0.0136,0.0408,0.0367,0.0544,0.0645,,
Vanuatu,,,27.4,,,,,,,,,,,,,,,7.61,,,,
Venezuela,,30,27.2,27.1,25.8,25,24.1,24.6,25.3,26.2,27.1,28.3,28.8,28.4,28.3,30.5,32.8,33.3,32.8,31.1,,
Yemen,,1.2,,1.32,,1.65,1.68,2.18,,,,,3.47,4.07,,4.45,,,3.85,,,
Zimbabwe,,71.7,,71.3,71.3,,,,,,,,,,77.4,,,,,,,
