country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,0.839,0.839,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.871,0.871,0.871,0,0.857,0.86,0.86,0.86,0.86,0.856,0.856,0.856,0.856,0.856,0.845,0.845,0.845,0.845,0.845,0.847,0.847,0.847,0.847,0.847,0.869,0.869,0.869
Georgia,,,,,,,,,,,,,,,,,0.824,0.819,0.819,0.819,0.825,0.825,0.825,0.825,0.802,0.812,0.812,0.812,0.822,0.854,0.854,0.854,0.854,0.851,0.851,0.851,0.851,0.879,0.88,0.88,0.88,0.915,0.915,0.884
Germany,0.983,0.982,0.982,0.982,0.982,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.982,0.982,0.982,0.983,0.983,0.983,0.983,0.984,0.984,0.984,0.984,0.983,0.983,0.983,0.983,0.985,0.985,0.985,0.983,0.983,0.983,0.983,0.994,0.994,0.994,0.994,0.948,0.948,0.948,0.948,0.952,0.952
Ghana,0,0,0,0,0.845,0.845,0,0,0,0,0,0,0,0,0,0,0,0.851,0.851,0.851,0.851,0.897,0.897,0.897,0.897,0.917,0.917,0.917,0.917,0.92,0.92,0.92,0.92,0.912,0.912,0.912,0.912,0.883,0.883,0.883,0.883,0.882,0.882,0.882
Greece,0.933,0.933,0.935,0.935,0.935,0.935,0.934,0.934,0.934,0.934,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.961,0.961,0.961,0.961,0.962,0.962,0.962,0.962,0.963,0.963,0.963,0.961,0.961,0.961,0.961,0.961,0.955,0.955,0.955,0.953,0.953,0.953,0.953
Guatemala,0.775,0.775,0.775,0.776,0.776,0.776,0.776,0.777,0,0.801,0.809,0.809,0.809,0.809,0.809,0.865,0.865,0.865,0.865,0.866,0.866,0.866,0.866,0.866,0.862,0.862,0.862,0.862,0.866,0.866,0.866,0.866,0.876,0.876,0.876,0.876,0.884,0.884,0.884,0.884,0.916,0.916,0.916,0.916
Guinea,0.801,0.801,0.801,0.801,0.801,0.809,0.809,0.806,0.806,0.806,0,0,0,0,0,0,0,0,0.824,0.824,0.823,0.823,0.823,0.812,0.812,0.812,0.812,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0,0.86,0.86,0.86,0.863,0.863,0.868,0.868,0.868,0.868
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0.832,0.832,0.832,0.832,0.85,0.867,0.867,0.867,0.867,0.879,0.871,0.871,0.871,0.872,0.872,0.872,0.872,0.863,0,0.876,0.876,0.876,0.876,0.876
Haiti,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.753,0.753,0.867,0.871,0.901,0,0.899,0.899,0,0,0,0.9,0.9,0.899,0.899,0.899,0.898,0.898,0.898,0.898,0.898,0,0.861,0.861,0.861,0.861,0.859,0.853,0.853,0.853,0.853,0.862,0.863,0.863,0.863
Honduras,0,0,0,0,0,0.899,0.899,0.899,0.899,0.899,0.9,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.949,0.949,0.949,0.949,0.95,0.95,0.95,0.95,0.951,0.951,0.951,0.951,0.856,0.856,0.856,0.856,0.854,0.854,0.854,0.854,0.847,0.847,0.847,0.847,0.843,0.843
Hungary,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.935,0.935,0.935,0.935,0.935,0.954,0.954,0.954,0.954,0.956,0.956,0.956,0.956,0.954,0.954,0.954,0.954,0.956,0.956,0.956,0.956,0.954,0.954,0.954,0.954,0.924,0.924,0.924,0.924,0.928,0.928,0.928,0.928,0.926
India,0.858,0.858,0.898,0.898,0.898,0.899,0.899,0.899,0.899,0.893,0.893,0.893,0.893,0.893,0.891,0.891,0.874,0.874,0.874,0.874,0.874,0.941,0.941,0.931,0.932,0.932,0.932,0.932,0.932,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.932,0.932,0.932,0.932,0.932
Indonesia,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.816,0.816,0.816,0.816,0.816,0.815,0.815,0.815,0.815,0.815,0.811,0.811,0.889,0.889,0.889,0.889,0.889,0.914,0.914,0.914,0.914,0.914,0.884,0.884,0.884,0.884,0.884,0.868,0.868,0.868,0.868,0.868
