country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Moldova,,,,,,,,,,,,,,,,,17,,12.8,13.9,13.7,13.3,13.1,12.6,12.1,11.8,11.4,11.1,10.8,10.1,9.27,8.92,9.08,9.49,9.23,9.07,9.6,9.77,
Monaco,,,,,,,,,,,,,,,,,,,14.7,,15,,,,,,,,,,,,,,,9.72,10.4,8.4,7.29
Mongolia,,,,,,,,,,,,,,,18.9,21.4,14.4,15.8,19.1,20.2,21.5,22.6,22.4,24.2,23.1,20.7,21.1,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,18.5,18.8,19,19.5,19.9,19.9,,,,,,,,,,,,,23.9,22.6,
Mozambique,,,,,,,,,,,,,,39.4,41.5,,,,,,,,,,36.3,38.8,39.8,39.9,41.1,,,,43.6,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,28,29.6,29.3,30,31.3,33.1,33.1,34.2,34.5,36.3,36,36.4,,,,35.7,,25.5,28.4,28.7,
Namibia,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,25.9,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,26.4,,,
Nepal,,,,,,,,,,,,,46.7,42.7,43.2,40.2,,,38.1,37.1,37.7,39.7,40.4,40.5,,,47.6,51.7,,39.9,36.9,37.1,36.2,35.4,35.1,35,34,,32
Netherlands,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,13.3,13.4,,,13.9,13.8,13.8,,
New Zealand,,,,,,,,,,,,,,14.5,,17.4,17.9,20.4,17.8,18,16.8,17.5,17.3,15.7,15.3,15.2,14.8,14.8,15,14.8,14.9,14.8,,14.7,14.7,14.8,15,,
Nicaragua,,,,,,,,,,,,,,,,,,,31,32,33.3,36.3,,33.1,34.8,33.2,32.3,30,,29.3,,,,,,,,,
Niger,,,,,,,,,,,,,,,,34.3,33.7,33.4,33.8,,35.8,38.9,44.3,45,48.2,32.4,30.6,31.2,,34.6,37.2,41.4,32.7,26.6,33.4,30.5,34.7,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,42.4,37.5,33,30.2,25.8,,31.1,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,
North Macedonia,,,,,,,,,,,,,,,,,,18.2,16.4,15.9,16.1,15.8,15.1,14.3,13.8,13.3,12.7,12.1,11.1,10.6,,8.93,8.28,8.06,8.16,,7.78,,
Norway,,,,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,8.53,8.36,8.51,8.42,7.97,,
Oman,,,,,13.1,13.1,14,14.7,14.8,16.6,16.8,17.7,18,18.5,18.6,18.4,18.3,18.6,19,18.6,18.1,16.7,15.7,,,,,,,,,,,,,,10.1,10.4,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,24.3,26.2,23.7,,,,,,,20.6,19.2,17.7,17.3,17.6,15.4,16.4,
Palau,,,,,,,,,,,,,,,,,,,14.1,15.9,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,26.5,29,27.5,25.7,27.1,28.2,26.6,29.4,26.4,25.2,24.3,23.2,21.1,20.9,20.7,20.7,21.3,21.2,21.6,18.6,
Panama,,,,,,,,,,,,,,,,,,,16.9,17.4,16.8,17.1,,16.5,16.3,16.5,16.3,16.4,16,16.9,16.1,15.7,16.6,15.3,14.2,14.6,14.7,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,22.6,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,15.9,13.7,15.3,,,,,,,,,19.1,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,40.1,40.5,,43.4,45.3,,,42,42,39.5,,39,,,,,,,23.5,24.2,,
Poland,,,,,,,,,,,,,,,,,,,,,10.6,,13.3,,12.6,12.4,12.1,12.3,12.2,11.9,9.31,9.06,9.07,8.95,8.79,8.71,8.64,,
Portugal,,,,,,,,,,,,,,,,,,,,11.1,10.5,9.6,9.59,9.81,,8.03,7.65,7.95,8.27,7.88,8.1,9.14,10.4,9.69,9.7,9.49,9.54,,
Qatar,,,,,,,,,,,,,,,,,,12.5,12.8,,13.3,12.6,11,10.9,10.7,10.4,11.3,10.7,11.4,10.8,,9.98,10.1,10.8,11.4,10.9,11.2,11.7,
Romania,,,,,,,,,,,,,,,,11.2,11,11.6,12.2,12.8,12.9,12.2,12.4,12,11,10.8,10.7,10.9,10.5,10.5,11.1,10.8,11.2,10.9,10.7,11.2,11.2,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,23.3,30.3,
Samoa,,,,,,,,,,,,,,,25.5,,,,26,24.2,25.2,25.9,,,,,26.6,,27,23.6,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,5.75,5.09,,,5.08,,,,6.34,,,,,,,,,,,,,,6.28,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,23.5,23.4,,,,,,,19.5,23.2,,,,24.2,19.2,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,10.5,11.1,,,,10.4,10.6,10.3,10.7,11.1,11.7,
Senegal,,,,,,,,,,,,,,,,42.8,43.5,,,31.3,28.8,31.3,,26.8,,,,34.8,,,,,,,,,,28.3,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.3,9.96,9.36,9.09,8.68,8.71,8.34,8.35,8.15,7.97,7.8,
Seychelles,,,,,,,,,,,,,,,13.5,14.1,,,14,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,19.1,20.7,19.8,,20.1,20.9,21.9,15.6,
Singapore,,,,,,,,,,,,,,,22.3,21.1,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,13,12.9,12.9,13.8,13.4,13.3,13.2,13.4,13,13.1,12.7,12.3,11.9,11.5,11.2,11,10.9,11,10.8,10.9,,
Slovenia,,,,,,,,,,,,,,,,14.5,14.2,13.9,13.8,13.4,12.8,12.6,13,11.1,10.3,9.58,7.31,7.36,7.34,7.17,7.09,7.02,7.28,7.32,7.54,5.91,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,18.8,18.2,16.2,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,
South Korea,,,,,,,,,,,,,,25.3,26.8,26.6,23.9,22.5,21.8,21.5,21,20.7,19.9,20.3,20.7,20.7,20.5,20.1,19.8,19.3,18.1,17.3,16.8,15.8,15.1,14.2,13.6,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,46.7,,,,
Spain,,,,,,,,,,,,,18.4,18.2,17.5,17,,,,,,12.8,13.1,12.7,12.4,12.3,11.9,10.5,10.4,10.7,10.9,11.2,12.6,12.4,12.3,11.9,11.9,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,20.9,22,22,19.8,20.3,19,18.9,,,16.7,16.7,16.5,17.3,,17.3,17,17.1,16.7,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,10,9.84,8.87,9.94,,10.1,10.5,9.26,9.41,11.2,9.98,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,18.7,19.6,,,,,,,,,16.3,15.6,15.2,14.3,11.3,12.7,11.6,,11.5,11.2,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,24.1,23.9,22,18.1,,,,21.7,14.2,17.8,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,16.6,15.6,,,16.5,15.7,15.4,14.6,15,14.6,14.8,14.8,14.7,14.2,13.9,12.5,13.4,14.2,
Sweden,,,,,,,,,,,,,8.02,8.43,10.7,,10.8,12.6,12.3,11.8,11.5,11.2,11.1,9.89,10.1,9.73,9.73,9.65,9.51,9.58,9.48,9.5,10.9,11.1,11.2,11.4,11.3,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,7.55,7.97,,8.29,8.42,,
Syria,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,23.4,23.4,,,,21.9,21.5,20.4,,21.8,21.8,20.9,,,25.5,25.3,25.3,24.9,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,30,32,33.7,,,,,38.4,26.3,25.9,25.3,,,,,,27.7,26.9,
Togo,,,,,,,,,,,,,,,34.6,,,,44.4,,,,,,,,,,,,33.9,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,17.1,15.3,,,,,,,,,,,,,,,,14.5,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,21.9,21.1,19.3,19,19,,16.5,,13.9,13.5,13.5,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,22.9,24.4,24.4,24.5,20.5,18.7,,,,,15.9,15.1,,,,,,,13.4,13.6,
Turkey,,,,,,,,,,,,,,45.6,41.2,,19.2,,,,,,,,,,,,,,,20.1,20.6,19.5,17.8,,17.1,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,,,,,,,,,,9.2,,7.87,
United Arab Emirates,,,,,,,,,,,,,,,,,,,14.1,14.3,14.5,14.3,16.2,16,15,13.9,14.6,,13.8,14.1,,,,,16.6,13.6,,,
United Kingdom,,,,,,,,,,,,,15,15.4,14.6,14.5,14.9,,15.8,16.1,15.8,16.1,15.9,15.8,15.4,15.5,15.3,15.3,,,,,16.3,15.3,,,17.4,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,14.7,,14.5,,
Uruguay,,,,,,,,,,,,,,,,,,13.5,11.9,11.8,11.3,,10.6,,12.1,12.9,11.4,11.5,11.3,10.1,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,9.33,8.95,8.91,8.79,8.77,8.5,
Vanuatu,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,,,,,17.8,,18.4,,,,
Vietnam,,,,,,,,,,,,,,,,,,29.3,28.7,27.6,26.3,25.7,24.7,23.5,22.6,21.1,20,18.7,17.6,16.6,15.9,15.8,15.4,15.6,16.3,16.4,16.8,17.6,
Yemen,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,,11.7,11.1,,,,,26.8,,,
Zambia,,,,,,,,,,,,,,,,,,27.6,51.2,49.9,48,48.1,,53.5,56.5,57,55.4,54.2,,53,55.9,49.2,47.9,21.1,,,,,
