country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Spain,,,,,,,,,19.9,16.3,15.2,11.5,12.4,12.8,12.8,10.9,10.3,10.3,15.1,24.3,26.9,28.6,33.4,35.1,33.1,30.4,27.5,24.5,21.6,19.9
Sri Lanka,,,,,,,,,,,,,,,,,,,,4,3.27,3.1,3.17,3.08,3.1,3.13,3.06,2.58,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,25.4,21.2
Sudan,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,,
Sweden,,,,,,,,,12.1,11.5,8.12,7.8,7.83,8.57,10,13.2,12.5,11.9,12.8,15.8,17,16.5,17.6,18.8,19.1,18.9,18.8,18.5,18.7,20.6
Switzerland,,2.23,4.72,5.46,6.05,6.58,,,5.2,5.48,4.69,4.84,4.48,6.51,7.37,7.82,7.12,6.88,6.11,7.48,7.91,7.92,7.72,8.28,8.61,8.72,9.16,8.17,8.07,7.98
Tajikistan,,,,,,,,,,,,,,,,,,,,5.42,,,,,,,,,,
Tanzania,,,,,,,,,,,,7.29,,,,,9.15,,,,,3.3,,3.22,4.96,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,0.513,0.5,0.54,0.227,0.497,0.462,0.554,0.649,0.614,0.548
Timor-Leste,,,,,,,,,,,,,,,,,,,,,2.69,,,12.9,,,4.35,,,
Togo,,,,,,,,,,,,,,,,,3.67,,,,,0.873,,,6.34,,,4.78,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,5.09,3.86,5.15,3.03,2.93,2.81,3.93,,,
Tunisia,,,,,9.35,,,28.6,,,,,,,,14.3,13,11.4,10.6,10.4,9.24,12.4,12.2,9.91,,8.85,,,,
Turkey,,,,,,,,,,,,,10.3,10.2,9.24,9.67,8.37,8.36,9.42,12.4,10.4,8.24,7.63,8.27,9.3,9.85,10,9.68,10,13.1
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,4.12,,,,,5.46,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,6.59,6.36,6.89,13.6,12.2,8.04,1.08,10.3,
United Arab Emirates,,,,,,1.64,,,,,,,,,,2.58,,,,,,,,,,,,1.16,1.21,
United Kingdom,,,,,,,,,35.3,9.33,8.74,7.66,8.03,7.43,7.49,7.71,8.84,9.14,9.97,12.8,13.7,13.9,13.7,13.7,11.1,9.46,8.17,7.18,6.31,6.52
United States,,,,,12.6,12,11.4,10.3,9.53,9.31,8.67,9.67,10.1,10.3,9.88,8.8,8.13,7.95,10.5,14.9,15.3,13.6,12.7,10.8,8.84,7.76,7.49,6.55,5.87,5.4
Uruguay,,,,,,,,,10.7,11.6,14.1,17.2,19.7,19.3,15.5,14.2,12.6,9.99,9.29,9.58,8.66,7.34,7.62,7.58,7.89,8.89,9.3,9.4,9.87,11.1
Vanuatu,,,,,,,,,,,,,,,,,8.6,,,,2.05,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,11,8.74,7.21,6.13,5.96,6.81,6.34,6.09,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,0.814,0.711,0.674,0.809,0.729,1.24,1.17,1.27,0.857,1.66
Yemen,,,,,,,,,,,,,,,,,,,,,20.7,,,,12.8,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,10.4,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,5.27,,,4.38,,,,,
