country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,,,,,,,,,,,,,,,,0.423,,0.324,,0.268,,0.219,0.2,0.204,0.179,0.164,0.132,0.126,0.109,0.105,0.072,0.086,0.079,0.099,
Timor-Leste,,,,,,,,,,,,,,,,,0.363,,,,,,0.504,,,,,,,0.418,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,0.587,,,,0.551,,,,
Tonga,,,,,,,,,,,,,,,,,0.162,,,,,,,,0.225,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,0.254,,,,,0.231,,,,,0.205,,,,,0.152,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,0.186,0.163,0.167,0.171,0.169,0.161,0.163,0.15,0.15,0.147,0.143,0.135,0.139,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,,,,,,,,
Uganda,,,,,,,,0.564,,,,0.444,,,0.338,,,0.388,,,0.311,,,,0.245,,,0.197,,,,0.214,,,
Ukraine,,,,,,,,,,,,,,,,,,0.833,0.762,0.656,0.553,0.497,0.127,0.071,0.058,0.086,0.078,0.09,0.083,0.086,0.064,0.038,0.024,0.013,
Uruguay,,,,,,,,,,,,,,,,,,,,,,0.325,0.296,0.242,0.21,0.185,0.137,0.124,0.115,0.097,0.097,0.094,0.079,0.081,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.141,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,,
Venezuela,,,,,,,,,,,,,0.556,0.49,0.428,0.416,0.311,0.411,0.54,0.531,0.424,0.331,0.275,0.277,0.264,0.268,0.274,0.272,0.294,0.295,0.331,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,0.172,,0.135,,0.098,,0.067,
Yemen,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,,,,0.486,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,,,,,0.544,,,,
Zimbabwe,,,,,,,,,,,,,,,,,0.709,,,,,,,,,,0.723,,,,,,0.7,,
