country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0738,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0177,,,,,,0.0102,,,,,,,,0.00685,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00786,,,,,,0.00894,,,0.0068,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0225,0.0507,0.108,0.157,0.19,0.131,0.148,0.128,0.133,0.104,0.0938,0.0897,0.0751,0.0825,0.0835,0.0688,0.0677,0.0635,0.0539,0.0623,0.0652,0.0642,0.0658,0.0695,0.0727,0.0802,0.0752,0.0782
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0628,0.0657,0.0686,0.0739,0.078,0.0766,0.0709,0.0652,0.0651,0.0748,0.0734,0.0668,0.0649,0.0812,0.079,0.0832,0.0811,0.0735,0.0584,0.053,0.0475,0.0564,0.0457,0.0496,0.0438,0.04,0.0541,0.0577,0.0571,0.062,0.0701,0.0745,0.0736,0.0721,0.0651
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0689,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0849,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0442,0.0442,0.0607,0.068,0.0721,0.0734,0.08,0.0746,0.0729,0.0851,0.104,0.12,0.116,0.133,0.152,0.154,0.142,0.127,0.12,0.112,0.126,0.128,0.127,0.124,0.103,0.0847,0.0799,0.076,0.0642,0.0586,0.0569,0.0511,0.047,0.0388,0.0339
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256,0.0233,0.0213,0.0192,0.0206,0.0181,0.0175,0.0162,0.0176,0.0238,0.0277,0.031,0.034,0.0297,0.032,0.0316,0.0427,0.037,0.0405,0.038,0.0311,0.0424,0.0377,0.037,0.0336,0.0324,0.0457,0.0623,0.0841,0.135,0.162,0.172,0.175,0.192,0.181
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,,0.118,,0.0655,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129,,,,,,0.0192,0.0119,0.00697,0.00378,,0.00631,0.00829,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123,0.00987,0.00947,0.0122,0.00853,0.0177,0.016,0.0127,0.00971,0.016,0.0146,0.0279,0.019
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.0844,0.0697,0.0542,0.0587,0.0558,0.0613,0.0273,0.0312,0.0284,0.0294,0.0285,0.0287,0.0387,0.0397,0.0438,0.0512,0.0649,0.079,0.0918,0.084,0.0805,0.0637,0.0577,0.044,0.0359
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0213,0.0276,0.0436,0.0379,0.0312,0.0304,0.0261,0.0188,,,,0.0153,0.0279,0.0454,0.0143,0.0141,0.00894,0.0159,0.0366,0.0436,0.0546,0.0424,0.0322,0.03,0.0321,0.0209,0.018
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009,,,,,,0.00136,,,,,0.00363,,,,,0.0021,,0.00304,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035,0.00417,0.0112,0.0119,0.0163,0.0152,0.00928,0.00981,0.0115,0.00814,0.00952,0.0121,0.0089,0.00776,0.00711,0.00669,0.00656,0.00684,0.00767
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0327,0.0289,0.0411,0.0548,,,,0.0276,0.0344,0.0443,0.0378
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0305,,,,,0.0307,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,0.102,0.103,0.106,0.122,0.118,0.112,0.095,0.0941,0.0836,0.0821,0.0842,0.0774,0.0677,0.0616,0.0505,0.0426,0.0253,0.0264,0.0237,0.0237,0.0242,0.0279,0.0242,0.0247,0.0342,0.0651,0.0872,0.0961,0.105,0.108,0.0952,0.0774,0.064,0.0574
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0178,,,,,,,,,,,,,,,,0.0468,0.0921,0.0937,0.0887,0.0646,0.0606,0.0596,0.0646,0.0841,0.0867,0.0873,0.0823,0.0824,0.0842,0.0951,0.0889,0.0819,0.0683,0.0578,0.0692,0.064,0.0551,0.0479,0.0441,0.041,0.0392,0.0379,0.0344
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0173,0.018,0.015,0.0206,0.0221,0.0172,0.0224,0.0175,0.0189,0.022,0.031,0.0358,0.0422,0.0449,0.0456,0.0466,0.049,0.0466,0.0463,0.0416,0.0424,0.0415,0.0351,0.0288,0.0241,0.0311,0.034,0.0358,0.0384,0.0526,0.0573,0.0548,0.0554,0.0574,0.0578
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0489,,,,0.0743,,,,0.0477,,,,,0.0476,0.0353,,,,0.0425,,,,0.0561,0.0531,0.0485,0.0592,0.0475,0.045
Japan,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.013,0.015,0.017,0.015,0.016,0.023,0.026,0.028,0.03,0.031,0.028,0.032,0.034,0.037,0.039,0.037,0.041,0.042,0.036,0.031,0.027,0.025,0.025,0.03,0.036,0.037,0.042,0.04,0.05,0.054,0.055,0.057,0.059,0.056,0.045,0.041,0.039,0.034,0.036,0.047,0.05,0.0443,0.041,0.037,0.032,0.031,0.029,0.027
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,0.0518,0.0613,,,,0.0755,0.0659,0.06,0.0527,0.0505,0.0418,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0599,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,0.0059,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0645,,0.0365,0.0309,0.0536,,,0.0341,0.0349,0.0381,0.0389,0.0615,0.0445,0.0375,0.0281,0.028
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00471,,,,,,,0.0299
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.0831,0.0939,0.122,0.0965,0.101,0.102,0.0894,0.0668,0.0447,0.063,0.138,0.16,0.149,0.147,0.105,0.0987,0.0928,0.0919,0.0826
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0312,,,0.0401,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,,,0.326,,,,,0.162,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00719,,,,,,,
