country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0467,0.136,0.122,0.063,0.0717,0.136,0.211,,,,,,0.014,0.0326,0.0125,0.00724,0.0128,0.0115,0.00585,0.00689,0.0287,0.0237,0.0214,0.0246,0.0167,0.00441
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00277,0.0372,0.0455,0.0438,,0.0264,,,0.0439,0.0381,,,,,,0.0199,0.0186,0.0163,0.0247,0.0356,0.0412,0.0333,0.029,0.0177,0.00669,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00107,,,,,,,,,,,0.00197,,,,,0.00116,,0.0023,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000935,0.00917,,0.0257,0.0328,0.0163,0.00563,0.00627,0.0013,0.000768,0.00845,,,,,0.000601,0.00167,0.00172
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0108,0.0091,0.0132,0.0159,,,,0.0102,0.0088,0.0159,0.0187
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256,,,,,0.0206,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0273,0.0315,0.0352,0.0242,0.0346,0.0275,0.0257,0.0308,0.0286,0.0299,0.0309,0.0444,0.0211,0.0397,0.0203,0.00789,0.00588,0.00367,,0.00677,0.00505,0.0094,0.00485,0.00377,0.00711,0.00412,0.0107,0.0184,0.0131,0.0151,0.0199,0.0165,0.0195,0.0182,0.0152
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0466,0.0441,0.0245,0.0413,0.025,0.0206,0.0215,0.0363,0.0431,0.0376,0.0546,0.0288,0.0453,0.0412,0.0688,0.038,0.0559,0.0623,0.0429,0.0438,0.0381,0.0392,0.0432,0.0373,0.037,0.0333,0.0308,0.0288
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0547,0.0112,0.00936,0.0217,0.0112,0.00984,0.00548,0.0172,0.0127,0.0177,0.0584,0.024,0.0357,0.0374,0.037,0.0228,0.0275,0.0277,0.0188,0.0161,0.0183,0.0193,0.0123,0.0132,0.00659,0.0161,0.0104,0.0116,0.0107,0.0183,0.0174,0.0131,0.0179,0.019,0.0184
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0377,,,,0.0564,,,,0.0248,,,,,0.0375,0.0227,,,,0.0236,,,,0.0385,0.0405,0.0251,0.0298,0.0364,0.0369
